ID	NAME	KEYWORDS
50	pEcmAO-Gal	"ecmAO promoter,galactosidase marker,act6 promoter,neomycin resistance,expression vector"
52	pV18-bsr	blasticidin resistance
53	V/63-Gal	"galactosidase marker,neomycin resistance,ecmAO promoter"
54	pPatB-KO	knockout vector
55	EXPpatA-AS	"patB,antisense,PAT1,ATPase,contractile vacuole,calcium regulation"
56	cbpA-KO	knockout vector
57	cupB-AS	neomycin resistance
58	Scar-KO construct (p9A/O7C11)	"knockout vector,blasticidin resistance"
59	pAK2	knockout vector
60	pVS	"Myc tag,neomycin resistance,expression vector,act15 promoter,discoidin promoter"
62	pAT&#968;-BsrR-Rev	"knockout vector,blasticidin resistance"
63	pDXA-3C	"Myc tag,neomycin resistance,expression vector,act15 promoter"
64	G&#947;-YFP	"YFP marker,expression vector"
65	pTorA-KO	knockout vector
66	pPTEN-GFP	"act15 promoter,extrachromosomal vector,expression vector,GFP marker,neomycin resistance"
67	pPTEN-KO	"blasticidin resistance,knockout vector"
68	CRAC-GFP (pWf1)	"GFP marker,expression vector"
69	PH-GFP (pWf38)	"GFP marker,expression vector,act15 promoter"
70	pCAR1-B18	"expresion vector,act15 promoter,extrachromosomal vector,neomycin resistance"
71	pMC36	extrachromosomal vector
72	YakA-GFP	"GFP marker,expression vector,act6 promoter,neomycin resistance"
73	pCAR3-KO-ura	knockout vector
74	pDNeo67	"expression vector,neomycin resistance,act6 promoter"
116	pRNR-P	"expression vector,neomycin resistance"
213	smkA-KO	"knockout vector,act15 promoter,neomycin resistance"
290	pDEXH-GFP-PiaA<sup>WT</sup>	"expression vector,GFP marker,act15 promoter,act6 promoter,neomycin resistance"
291	pB10TP4	neomycin resistance
292	lvsB-KO	"blasticidin resistance,knockout vector"
293	lvsC-KO	"blasticidin resistance,knockout vector"
294	lvsD-KO	"blasticidin resistance,knockout vector"
295	lvsE-KO	"blasticidin resistance,knockout vector"
296	lvsF-KO	"blasticidin resistance,knockout vector"
297	pLD1A15SN:GFPdynacortin	"GFP marker,expression vector,act15 promoter"
298	pLD1A15SN:dynhp	"expression vector,act15 promoter"
299	pDimA-KO	knockout vector
301	pDU3B1	uracil selection 
302	G&#945;2-CFP	"CFP marker,expression vector"
303	pRHI25	REMI vector
305	pi3k2-gfp	"act15 promoter,neomycin resistance,GFP marker,expression vector"
306	calreticulin pHluorin	act15 promoter
307	pten-KO-hyg	"hygromycin resistance,knockout vector"
308	pSadA-GFP	"GFP marker,neomycin resistance,expression vector,act15 promoter"
309	pLD1A15SN:myoIIhp	"expression vector,act15 promoter"
310	pLD1A15SN	"neomycin resistance,expression vector,act15 promoter"
311	pA15lagC	act15 promoter
313	pDV-CYFP	"YFP marker,expression vector,act15 promoter"
314	Act 15 ACG	act15 promoter
317	Myc10	Myc tag
318	sGCKO3486	
319	pdsB KO5234	
320	pdsB KO1234	
321	BS15	
322	Act 15 ACG-Y	act15 promoter
323	pmycELC	"myc tag,expression vector,neomycin resistance"
324	V63gal	galactosidase marker
325	pDV-CGFP 	"GFP marker,expression vector,act15 promoter"
326	pDV-CGFP-CTAP	"GFP marker,TAP tag,expression vector,actin15 promoter"
327	pDV-NYFP	"YFP marker,expression vector,act15 promoter"
328	pDV-NYFP-CTAP	"YFP marker,TAP tag,expression vector,act15 promoter"
329	pDV-CYFP-CTAP	"YFP marker,TAP tag,expression vector,act15 promoter"
331	pDV-NTAP-NYFP	"YFP marker,TAP tag,expression vector,act15 promoter"
333	pDV-NTAP-CGFP	"GFP marker,TAP tag,expression vector,act15 promoter"
334	pAcgA-KO-Hygro	"hygromycin resistance,knockout vector"
336	pDXA-3H-BL	"expression vector,blasticidin resistance"
339	pA15/GFP-Apg1	"GFP marker,act15 promoter,expression vector"
340	pA15/RFP-Apg8	"act15 promoter,expression vector,RFP marker"
341	pA15/GFP-Apg8	"GFP marker,act15 promoter,expression vector"
342	pA15/CFP-Apg1	"CFP marker,act15 promoter,expression vector"
346	fbxA/gfp-neo	"GFP marker,neomycin resistance,expression vector"
330	pA15/myc-fbxa	"act15 promoter,neomycin resistance,Myc tag,expression vector,extrachromosomal vector"
344	ecmA/myc-fbxA	"Myc tag,ecmA promoter"
345	pspA/myc-fbxA	"Myc tag,psA promoter"
332	fbxA/myc-fbxA	"Myc tag,neomycin resistance"
348	pJRC76	"expression vector,neomycin resistance,GFP marker,act15 promoter"
350	pJB22	
351	pA15/aequorin 	"act15 promoter,neomycin resistance"
354	pPROF120	"expression vector,galactosidase marker,neomycin resistance,act15 promoter,act6 promoter"
355	pDH29	"uracil selection,REMI vector"
356	EXP4(+)	"expression vector,TAP tag,neomycin resistance,act15 promoter"
357	EXP5(+)	"expression vector,TAP tag,act15 promoter,neomycin resistance"
364	RasGEFM-KO vector	"knockout vector,blasticidin resistance"
365	Nramp1-KO vector	"knockout vector,blasticidin resistance"
366	pDEXH-GFP-PiaA<sup>HSB1</sup>	"GFP marker,expression vector"
367	MF1	knockout vector
368	MF2	"knockout vector,blasticidin resistance"
353	pRHI71	RasGefA
369	Golvesin(C)-GFP	"GFP marker,expression vector,neomycin resistance"
370	&#916;(1-75;119-579)-golvesin(C)-GFP	"GFP marker,expression vector,neomycin resistance"
371	GFP-(N)-&#916;(1-75)-golvesinGFP	"GFP marker,expression vector,neomycin resistance"
373	GFP-(N)-&#916;(559-579)-golvesin	"GFP marker,expression vector,neomycin resistance"
374	"GFP-(N)-golvesin-(L9A,L10A)"	"GFP marker,expression vector,neomycin resistance"
376	pTX-PsA-CFP	"psA promoter,CFP marker,expression vector,neomycin resistance"
377	pTX-ecmA-YFP	"ecmA promoter,YFP marker,expression vector,neomycin resistance"
378	pTIKL-MyD	"act15 promoter,neomycin resistance,expression vector"
379	pBIGALA	"act15 promoter,expression vector,neomycin resistance"
380	pBIGASP	"neomycin resistance,act15 promoter,expression vector"
381	pBIG-GFP-myo	"neomycin resistance,expression vector,act15 promoter,GFP marker"
382	pGFP-MHC-3xALA	"GFP marker,expression vector,neomycin resistance,act15 promoter"
383	pGFP-MHC-3xASP	"expression vector,neomycin resistance,act15 promoter,GFP marker"
384	pA15/paxB-GFP(S65T)	"blasticidin resistance,GFP marker,expression vector,act15 promoter"
385	ACG-KO	"blasticidin resistance,knockout vector"
386	pBORP	"expression vector,neomycin resistance,act15 promoter"
387	pVTL2	"neomycin resistance,extrachromosomal vector,act6 promoter,luciferase marker"
388	pJR1	
389	pBS18/car2	
206	pV18-I-S65T-GFP	"GFP marker,expression vector,neomycin resistance"
300	pA15/pHluorin	act15 promoter
392	pMBP-Aur	extrachromosomal vector
396	pTAP-INCENP	"GFP marker,TAP tag,neomycin resistance,expression vector"
397	pTAP-INCENP-&#916;cs1	"DdINCENP,cleavage furrow,cell division,cytokinesis,inner centromeric protein,icpA"
352	pCotB/LacZ	"cotB promoter,galactosidase marker,expression vector"
358	pPT130	"gateway vector,expression vector,act15 promoter,neomycin resistance"
359	pPT131	"gateway vector,expression vector,act15 promoter,neomycin resistance,GFP marker"
360	pPT132	"gateway vector,expression vector,act15 promoter,neomycin resistance,GFP marker"
361	pPT134	"gateway vector,expression vector,neomycin resistance,galactosidase marker"
362	pPT135	"gateway vector,expression vector,neomycin resistance"
363	pPT165	"gateway vector,expression vector,neomycin resistance,GFP marker"
372	Golvesin(N)-GFP	"GFP marker,expression vector,neomycin resistance"
375	piaA-HSB1	
391	pTAP-Aur-KD	"neomycin resistance,expression vector,TAP tag,GFP marker"
393	pTX-Aur	"GFP marker,neomycin resistance,expression vector"
394	pTX-Aur-KD	"expression vector,GFP marker,neomycin resistance"
395	pTX-TAPGFP	"TAP tag,neomycin resistance,GFP marker,expression vector,act15 promoter"
398	pTX-INCENP-&#916;cs1	"GFP marker,neomycin resistance,expression vector"
399	pTX-INCENP	"GFP marker,neomycin resistance,expression vector"
400	pTX-INCENP-&#916;N	"GFP marker,neomycin resistance,expression vector"
401	pTX-INCENP-&#916;C	"GFP marker,neomycin resistance,expression vector"
402	pTX-INCENP-&#916;cs2	"GFP marker,neomycin resistance,expression vector"
390	pTAP-Aur	"neomycin resistance,expression vector,GFP marker,TAP tag"
403	pTF169Cla	REMI vector
112	pTX-RFPmars	"expression vector,RFP marker,act15 promoter,neomycin resistance"
113	pDNeo2-Dd-TRAP1	expression vector
115	TRAP1-RNAi MB38	"blasticidin resistance,tet on/off vector"
1	339-3 (mRFPmars in pBsrH)	"GFP marker,RFP marker,blasticidin resistance,expression vector,act15 promoter"
2	SL515	"blasticidin resistance,knockout vector"
3	SL405	"blasticidin resistance,knockout vector"
4	SL516	"hygromycin resistance,knockout vector"
5	pREMI:GFP-1	"GFP marker,neomycin resistance,REMI vector,act6 promoter"
6	pREMI:GFP-2	"GFP marker,neomycin resistance,REMI vector,act6 promoter"
7	pREMI:GFP-3	"GFP marker,neomycin resistance,REMI vector,act6 promoter"
8	pDEX-NLS-cre	"cre-loxP vector,blasticidin resistance,act6 promoter,act15 promoter"
10	EZTN:tetR-bsR	"blasticidin resistance,tetracyclin resistance,tet on/off vector,act15 promoter"
199	pDXA-3FLAG	"expression vector,FLAG tag,neomycin resistance,discoidin promoter"
202	atgN-KO	"knockout vector,blasticidin resistance"
204	pDXD-3C	"Myc tag,neomycin resistance,expression vector,discoidin promoter"
207	pPROF128	"neomycin resistance,extrachromosomal vector"
208	pBsr-Nsi-MHCKD-KO	"knockout vector,blasticidin resistance"
209	pV18-VSon1-FLAG	"FLAG tag,expression vector"
210	pTX-GFP-vwk	"expression vector,GFP marker,neomycin resistance"
211	pTX-FLAG-vwk	"expression vector,FLAG tag,neomycin resistance"
212	pVWKA-KO1	"knockout vector,act15 promoter,blasticidin resistance"
347	pJRC36	"transcriptional pulsing,MS2"
349	pJB1	"uracil selection,REMI vector"
214	SMEK OE	"expression vector,act15 promoter,neomycin resistance,extrachromosomal vector"
215	rps4<sup>AS</sup>	"neomycin resistance,extrachromosomal vector"
216	rps4<sup>OE</sup>	"expression vector,act6 promoter,neomycin resistance,extrachromosomal vector"
217	pDE-0.9	expression vector
218	p240Cla	knockout vector
219	pG3Neo-AmpA	"expression vector,neomycin resistance,act15 promoter"
220	pTVKO4	"knockout vector,blasticidin resistance"
221	pAmpA/lacZ	"galactosidase marker,expression vector,neomycin resistance"
222	pPL3/lacZ	"galactosidase marker,expression vector,neomycin resistance"
223	gp130-ura	knockout vector
42	pBS-ACA	
24	pCP33	"neomycin resistance,extrachromosomal vector"
224	p155d1	"extrachromosomal vector,neomycin resistance"
225	p60	"extrachromosomal vector,expression vector,neomycin resistance"
226	pB10S	"neomycin resistance,expression vector,extrachromosomal vector,neomycin resistance,act6 promoter"
32	pBSR1	"blasticidin resistance,act15 promoter,REMI vector"
228	DIV2	"uracil selection,REMI vector"
229	DIV6	"uracil selection,REMI vector"
230	DIV1	"uracil selection,REMI vector"
231	pG3NeoI	"expression vector,neomycin resistance,act15 promoter"
232	pCT7	"expression vector,GFP marker "
233	pDT1	"knockout vector,blasticidin resistance,galactosidase marker"
234	pDT5 (iplA-KO2)	"knockout vector,blasticidin resistance"
235	pDT12	"act15 promoter,expression vector"
236	pPT17	expression vector
237	pPT39	"GST tag,expression vector"
238	pPT40	"GST tag,expression vector"
239	DIV5	"remi plasmid,pyr5-5 gene,uracil selction"
240	pN-CAP-Pro-GFP	"expression vector,act15 promoter,GFP marker"
241	pPro-C-CAP-GFP	"expression vector,GFP marker,act15 promoter"
242	pflCAP-GFP	"expression vector,GFP marker"
227	pCP43	"expression vector,act15 promoter,neomycin resistance,extrachromosomal vector"
243	pDV-CTAP	"TAP tag,expression vector,act15 promoter"
244	pDV-NTAP	"TAP tag,expression vector,act15 promoter"
245	pKK4	"TAP tag,act15 promoter"
246	LST8-KO	"knockout vector,blasticidin resistance"
247	LST8-OE	expression vector
248	RIP3-OE	expression vector
249	RIP3-KO	knockout vector
250	RasC-bsr	"knockout vector,blasticidin resistance"
251	RasC-thy	knockout vector
252	RasG	expression vector
253	RasG-G12T	expression vector
254	RasG-S17N	expression vector
255	Rap1-S17N	expression vector
256	Rap1-G12V	expression vector
257	DNG1-KO	knockout vector
258	DNG1-OE	expression vector
		
		
259	DNG1-GFP	"GFP marker,expression vector"
260	Rap1	"neomycin resistance,act15 promoter,discoidin promoter,expression vector"
261	pVMop	neomycin resistance
262	pVATM-act6	"expression vector,act6 promoter"
263	pDXA-VatM-GFP	"expression vector,GFP marker,neomycin resistance,act15 promoter,act6 promoter"
264	MB35-M2 (tetON driver)	"expression vector,act15 promoter,act6 promoter,neomycin resistance,tet on/off vector"
265	pAct15-Gal	"actin 15 promoter,galactosidase marker,expression vector,neomycin resistance"
266	pDdGal-15 (H<sup>+</sup>)	"galactosidase marker,neomycin resistance,expression vector,act15 promoter"
267	pDdGal-16 (H<sup>-</sup>)	"galactosidase marker,neomycin resistance,expression vector,act15 promoter"
268	pDdGal-17 (H<sup>+</sup>)	"galactosidase marker,neomycin resistance,expression vector,act15 promoter"
270	pD19-lacZ	"galactosidase marker,expression vector,act15 promoter,psA promoter"
272	pActin15-Rsub1	"actin 15 promoter,neomycin resistance,expression vector,act6 promoter"
273	pActin15-Rm	"actin 15 promoter,expression vector,neomycin resistance"
274	pActin15-Rc	"actin 15 promoter,expression vector,neomycin resistance"
275	pPsA-Rm	"psA promoter,neomycin resistance,expression vector"
276	pPsA-Rc	"psA promoter,expression vector,neomycin resistance"
277	pEcmA-Rc	"ecmA promoter,expression vector,neomycin resistance"
278	pEcmA-Rm	"ecmA promoter,expression vector,neomycin resistance"
280	dpoA KO construct	aardvark
281	pActin15StatWTpep	"neomycin resistance,act15 promoter"
282	pActin15StatAlapep	"neomycin resistance,act15 promoter"
283	pActin15StatAcidpep	"neomycin resistance,act15 promoter"
284	pGEG02-K	knockout vector
285	pGEG02-V	knockout construct
286	pRacF2-WT	expression vector
287	pRacF2-G12V	expression vector
288	pRacF2-N17T	expression vector
289	piaA<sup>WT</sup>	"expression vector,act15 promoter"
316	lim2-	"hygromycin resistance,knockout vector"
410	pDEXRH	"expression vector,act15 promoter,act6 promoter,neomycin resistance "
186	pDXA-3H-Hygro	"expression vector,hygromycin resistance,act15 promoter,His tag"
203	pDXA-GST	"expression vector,His tag,neomycin resistance,GST tag,act15 promoter"
445	pJRC119	"GFP marker,expression vector"
460	arpB-KO	"Arp2,arpB,arp2/3 complex,blasticidin cassette"
463	pDRHyg	"hygromycin resistance,expression vector,act15 promoter"
466	pLD1A15SN:fimbrin RNAi	"expression vector,act15 promoter"
499	GFP-VAMP7[L35A]-stop	"GFP marker,expression vector,extrachromosomal vector,neomycin resistance"
500	VAMP7-GFP	"neomycin resistance,expression vector,extrachromosomal vector,GFP marker"
501	(Myc)2-VAMP7	Myc tag
502	(Myc)2-apm1	Myc tag
503	(Myc)2-apm2	Myc tag
505	(Myc)2-apm4	Myc tag
506	(Myc)2-delta	Myc tag
507	rasG::bsr	"knockout vector,blasticidin resistance"
511	dmpA::bsr	"blasticidin resistance,REMI vector"
516	pDM309	"neomycin resistance,expression vector,extrachromosomal vector,act6 promoter,act15 promoter"
517	pDM310	"expression vector,extrachromosomal vector,neomycin resistance,act6 promoter,act15 promoter"
518	pDM359	"expression vector,extrachromosomal vector,hygromycin resistance,act6 promoter,act15 promoter"
519	pDM360	"expression vector,extrachromosomal vector,blasticidin resistance,act6 promoter,act15 promoter"
181	PSA/idq-gal&#916;5	"psA promoter,expression vector,galactosidase marker"
406	Kdel-neo	"act15 promoter,expression vector"
407	pBSEGE	"egeA,early gene exprssion,remi mutant,pBSR"
75	pMYC4	random chimeragenesis
76	pMYC5	random chimeragenesis
408	pLAS3	REMI vector
201	pDXA-YFP-MCS	"expression vector,YFP marker,neomycin resistance,act15 promoter"
415	pLAS5	REMI vector
417	pLAS7	REMI vector
419	pLAS18	REMI vector
420	pLAS19	REMI vector
422	pLAS27	REMI vector
425	pLAS32	REMI vector
427	pLAS38	REMI vector
428	pLAS39	REMI vector
433	pLAS54	REMI vector
435	pLAS57	REMI vector
436	pLAS58	REMI vector
438	pLAS70	REMI vector
439	pLAS91	REMI vector
444	pJRC13	blasticidin resistance
446	pJRC88	"GFP marker,expression vector"
448	pYL44	knockout vector
92	pPIA-HIS-GFP	"GFP marker,His tag,expression vector"
464	pDRH:GFP-tubulin	"GFP marker,hygromycin resistance,expression vector,act15 promoter"
465	pDRH:RFP-tubulin	"RFP marker,hygromycin resistance,expression vector,act15 promoter"
467	pLD1A15SN:GFP-fimbrin	"GFP marker,expression vector,act15 promoter"
479	pDNeo67-dia2-gfp	"GFP marker,expression vector,neomycin resistance,act6 promoter,act15 promoter"
482	VA6aco RNAi	"neomycin resistance,expression vector,act6 promoter"
483	pTF70-HindIII	"remi mutant,redA,CPR,cytochrome-P450 oxidoreductase"
487	pBC18	"clathrin-adaptor complex,AP-1,endocytosis"
493	pGMET-Easy-srfB-bsr	"knockout vector,blasticidin resistance"
495	RFP-Vti1	"RFP marker,blasticidin resistance,expression vector"
496	RFP-Syntaxin8	"RFP marker,expression vector"
504	(Myc)2-apm3	Myc tag
508	rasG::thy1	knockout vector
509	rasC::bsr (pJLW26)	"knockout vector,blasticidin resistance"
510	pik4::bsr	"rasC,G protein,signal transduction"
512	rasC rescue plasmid	"neomycin resistance,expression vector"
513	rasG rescue plasmid	"neomycin resistance,expression vector"
514	act15::[rasC/GFP]	"GFP marker,expression vector,act15 promoter"
515	rasC::[GFP/rasC]	"rasC,GFP,G protein,signal transduction"
520	pDM331	"expression vector,extrachromosomal vector,neomycin resistance,act6 promoter,act15 promoter,GST tag"
405	K-neo	"act15 promoter,neomycin resistance,expression vector"
		
		
443	pVTL-AL	"bleomycin resistance,luciferase marker,neomycin resistance"
84	pRHI38	"expression vector,extrachromosomal vector"
449	pGSP6	
454	pJH216	knockout vector
468	pA15TX	
481	VA6	"neomycin resistance,expression vector,act6 promoter"
484	pFL603	"clathrin-adaptor complex,AP-1,endocytosis"
61	pVSC	"Myc tag,neomycin resistance,expression vector,act15 promoter,cotB promoter"
521	pDM332	"expression vector,extrachromosomal vector,neomycin resistance,act6 promoter,act15 promoter,TAP tag"
522	pDM334	"expression vector,extrachromosomal vector,neomycin resistance,act6 promoter,act15 promoter,GFP marker"
523	pDM335	"expression vector,extrachromosomal vector,neomycin resistance,act6 promoter,act15 promoter,RFP marker "
524	pDM338	"expression vector,extrachromosomal vector,neomycin resistance,act6 promoter,act15 promoter,TAP tag"
525	pDM340	"expression vector,extrachromosomal vector,neomycin resistance,act6 promoter,act15 promoter,GFP marker"
526	pDM341	"expression vector,extrachromosomal vector,neomycin resistance,act6 promoter,act15 promoter,RFP marker"
527	pDM369	"expression vector,extrachromosomal vector,hygromycin resistance,act6 promoter,act15 promoter,GFP marker"
528	pDM370	"expression vector,extrachromosomal vector,hygromycin resistance,act6 promoter,act15 promoter,GFP marker"
529	pDM371	"GFP tag,hygromycin resistance,expression vector,extrachromosomal vector,gateway vector,act6 promoter,act15 promoter"
530	pDM372	"GFP tag,hygromycin resistance,expression vector,extrachromosomal vector,gateway vector,act6 promoter,act15 promoter"
531	pDM373	"hygromycin resistance,expression vector,extrachromosomal vector,gateway vector,act6 promoter,act15 promoter"
532	pDM304	"neomycin resistance,expression vector,extrachromosomal vector,act6 promoter,act15 promoter"
404	pTF169Eco	REMI vector
271	pActin15-GskA	"act15 promoter,expression vector,His tag"
315	dimB-KO	"knockout vector,blasticidin resistance"
409	pDEXH	"neomycin resistance,expression vector,extrachromosomal vector,act6 promoter,act15 promoter"
414	pBsrH	"blasticidin resistance,expression vector,act6 promoter,act15 promoter"
451	pGSP9	
453	pHygTm(plus)/pG7	"hygromycin resistance,expression vector"
459	pRHI8	extrachromosomal expression vector
461	pACA-KO	"acaA,adenylate cyclse,adenylyl cyclase null mutant,blasticidin cassette,chemotaxis"
9	pLPBLP	"cre-loxP vector,blasticidin resistance,act6 promoter"
469	pA15XPT1	
470	pA6NPTII	
472	pDXA-GFPABD120	"actin-binding domain,gfp,expression vector,filamin,gelation factor"
473	pDH-GFPABD120	"actin-binding domain,gfp,expression vector"
475	pMars-LimE-delta-coil	"actin-binding domain,rfp,expression vector,LIM"
488	pFL505	"clathrin-adaptor complex,AP-1,endocytosis"
490	pFL712	"clathrin-adaptor complex,AP-1,endocytosis"
491	pFL674	"clathrin-adaptor complex,AP-1,endocytosis"
494	RFP-Syntaxin7	"blasticidin resistance,expression vector,extrachromosomal vector,RFP marked"
498	GFP-VAMP7-stop	"neomycin resistance,expression vector,extrachromosomal vector,GFP marker"
198	pDXA-3H	"expression vector,neomycin resistance,His tag,act15 promoter"
205	pDXD-3H	"His tag,neomycin resistance,expression vector,discoidin promoter"
416	pLAS6	REMI vector
418	pLAS8	REMI vector
421	pLAS26	REMI vector
423	pLAS29	REMI vector
424	pLAS31	REMI vector
426	pLAS34	REMI vector
429	pLAS43	REMI vector
430	pLAS44	REMI vector
431	pLAS49	REMI vector
432	pLAS51	REMI vector
434	pLAS53	REMI vector
437	pLAS60	REMI vector
440	pLAS99	REMI vector
441	pLAS103	REMI vector
447	pJRC89	"expression vector,GFP marker"
127	pJH206	"expression vector,neomycin resistance"
442	iplA(ins)	"knockout vector,blasticidin resistance"
450	pKL2	"neomycin resistance,expression vector"
452	pGSP10	"expression vector,extrachromosomal vector,neomycin resistance"
128	pJH210	"expression vector,neomycin resistance,galactosidase marker"
455	pJH48	"uracil selection,knockout vector"
456	pJH280	"blasticidin,bsR cassette"
457	pRHI76	"Arp2,arpB,arp2/3 complex,extrachromosomal expression vector,aequorin"
458	pJSK19	"Arp2,arpB,arp2/3 complex,extrachromosomal expression vector,aequorin"
462	mrrA:lacZ	"promoter analysis,mybE"
471	pBSR-GFPABD120	"actin-binding domain,gfp,expression vector,filamin,gelation factor,abpC"
474	mars-ABD120	"actin-binding domain,rfp,expression vector"
476	pVSE	"Myc tag,neomycin resistance,expression vector,act15 promoter,ecmA promoter"
477	pVS-Hyg	"Myc tag,hygromycin resistance,expression vector,act15 promoter,dicoidin promoter"
478	pRNR-zyg1	"neomycin resistance,expression vector"
480	VA6aco	"neomycin resistance,act6 promoter"
485	pLAI7	"clathrin-adaptor complex,AP-1,endocytosis"
486	pFL474	"clathrin-adaptor complex,AP-1,endocytosis"
489	pFL619	"clathrin-adaptor complex,AP-1,endocytosis"
492	DsRed	"RFP marker,expression vector"
497	GFP-Syntaxin8	"GFP marker,expression vector"
567	pDM312	"RFP marker,expression vector,extrachromosomal vector"
568	pDM347	"extrachromosomal vector,gateway vector"
571	pV18-labile-luc	"luciferase marker,neomycin resistance,expression vector"
572	pPSA-labile-S65T-GFP	"GFP marker,expression vector,psA promoter"
